Image,F1,Jaccard,Recall,Precision,,,
926.png,0.8524173027989821,0.7427937915742794,0.9911242603550295,0.7477678571428571,,,
2029.png,0.851006711,0.7406542056074766,0.7684848484848484,0.9533834586466166,,,
559.png,0.8865030674846626,0.7961432506887053,0.7983425414364641,0.996551724,,,
16.png,0.902506964,0.8223350253807107,0.9101123595505618,0.8950276243093923,,,
1972.png,0.7861545756282599,0.64765625,0.9030501089324618,0.6960537363560033,,,
2837.png,0,0,0,0,,,
1050.png,0.9315223542727786,0.871822034,0.8926247288503254,0.9739644970414201,,,
2971.png,0.3725728155339806,0.22893363161819538,0.24501197126895452,0.7772151898734178,,,
1988.png,0.25130890052356025,0.1437125748502994,0.3257918552036199,0.20454545454545456,,,
949.png,0.7497116493656286,0.5996309963099631,0.9129213483146067,0.6360078277886497,,,
2633.png,0,0,0,0,,,
1410.png,0.7927927927927928,0.6567164179104478,0.694006309,0.9243697478991597,,,
1118.png,0.9197396963123644,0.8514056224899599,0.9197396963123644,0.9197396963123644,,,
1185.png,0.9821902235695339,0.9650037230081906,0.9766390354182366,0.9878048780487805,,,
1726.png,0.8998519980266403,0.8179372197309417,0.9115442278860569,0.8884559181685339,,,
880.png,0.7562841530054645,0.6080843585237259,0.9829545454545454,0.6145648312611013,,,
2951.png,0.944872062,0.8955047318611987,0.9861050803300043,0.9069488817891374,,,
2269.png,0.3872832369942196,0.24014336917562723,0.46206896551724136,0.3333333333333333,,,
1555.png,0.8604427333974976,0.7550675675675675,1,0.7550675675675675,,,
2968.png,0.8972766364070713,0.8136915077989602,0.8726765799256505,0.9233038348082596,,,
948.png,0.9119601328903654,0.8381679389312977,0.882636656,0.9432989690721649,,,
262.png,0.9375696767001115,0.8824763903462749,0.9524348810872028,0.9231613611416026,,,
2090.png,0.8825526137135098,0.7897934386391251,0.9522414298271316,0.8223684210526315,,,
2285.png,0.4874184529356943,0.32224276032039434,0.3314321926489227,0.920774648,,,
1262.png,0.6480331262939958,0.4793261868300153,1,0.4793261868300153,,,
2098.png,0,0,0,0,,,
1662.png,0.9150326797385622,0.8433734939759037,0.9859154929577465,0.8536585365853658,,,
1739.png,0.963302752,0.9292035398230089,0.9813084112149533,0.9459459459459459,,,
557.png,0.898921294,0.816400581,0.9367194004995837,0.8640552995391705,,,
2718.png,0.8755868544600939,0.778705637,0.9024193548387097,0.8503039513677811,,,
2172.png,0,0,0,0,,,
2729.png,0.904875406,0.8262762168579343,0.8315412186379928,0.9923954372623575,,,
361.png,0.9236683141131247,0.8581632653061224,0.8724066390041494,0.9813302217036173,,,
2647.png,0,0,0,0,,,
2489.png,0.9149121280668174,0.8431686978832585,0.8475177304964538,0.9939508506616257,,,
822.png,0.5171874999999999,0.3487881981032666,0.9457142857142857,0.35591397849462364,,,
2305.png,0.7506426735218509,0.6008230452674898,0.6008230452674898,1,,,
2655.png,0.7310524036379384,0.5761092150170648,0.6242603550295858,0.8819226750261233,,,
2957.png,0.7891986062717771,0.6517985611510791,0.9956043956043956,0.6536796536796536,,,
1194.png,0.8597560975609756,0.7540106951871658,0.8057142857142857,0.9215686274509803,,,
2198.png,0.923926086,0.8586083853702052,0.9492110453648915,0.8999532491818607,,,
2497.png,0,0,0,0,,,
1867.png,0.847877358,0.7359263050153532,0.7374358974358974,0.9972260748959778,,,
2345.png,0.8807310035267715,0.7868805499856775,0.9456110154905336,0.8241824182418241,,,
1561.png,0.7117750439367311,0.5525238744884038,0.995085995,0.5540355677154583,,,
3035.png,0.9308795206505457,0.8706965572457966,0.964095745,0.8998758791890774,,,
